Plant,Pop,PlantHeight_cm,EarLength_cm,EarDiameter_mm,KernelRows,KernelsPerRow,CobWeight_g,Weight100Kernels_g,DaysToFlowering,LeafWidth_cm
Con01,Conico,202.1,12.8,47.4,10,25,49.5,25.2,84,9.7
Con02,Conico,250.2,13.5,47.0,12,25,37.2,34.4,81,10.9
Con03,Conico,223.4,15.5,42.4,11,24,45.1,27.7,74,8.6
Con04,Conico,186.6,15.9,48.1,9,28,29.9,27.2,82,9.3
Con05,Conico,225.9,17.1,41.2,11,20,29.6,28.3,85,8.4
Con06,Conico,231.8,16.5,44.1,12,22,30.5,30.3,75,9.5
Con07,Conico,211.8,14.9,41.4,12,25,33.1,29.5,80,9.4
Con08,Conico,239.9,13.3,38.6,14,26,33.5,25.4,72,10.1
Con09,Conico,243.8,14.7,49.3,12,22,39.6,33.1,74,8.1
Con10,Conico,207.1,13.4,51.1,13,22,49.3,27.9,84,8.6
Con11,Conico,252.2,12.7,44.6,15,21,32.4,24.6,85,8.6
Con12,Conico,246.2,14.0,45.4,11,25,36.4,28.8,77,6.8
Con13,Conico,221.0,15.8,42.5,14,28,39.3,29.9,77,8.7
Con14,Conico,200.6,17.7,42.5,11,28,52.4,28.1,80,10.2
Con15,Conico,245.1,12.5,52.2,9,20,39.0,28.7,83,8.6
Con16,Conico,257.4,10.4,39.2,11,23,43.5,27.2,82,9.2
Con17,Conico,270.5,14.4,40.3,12,26,38.4,28.7,85,8.7
Con18,Conico,220.1,16.0,38.8,14,32,39.6,30.2,84,9.9
Con19,Conico,224.9,13.1,48.6,13,24,29.7,25.9,76,9.0
Con20,Conico,209.0,15.3,46.2,13,24,48.5,27.5,72,9.8
Con21,Conico,217.5,14.4,41.1,13,23,44.2,25.2,81,8.3
Con22,Conico,228.6,13.5,44.5,13,22,39.7,26.6,78,9.1
Con23,Conico,252.0,12.7,41.2,14,23,46.7,25.6,78,9.3
Con24,Conico,231.9,14.5,37.4,11,23,40.6,24.2,90,8.5
Con25,Conico,235.4,14.4,40.3,12,30,41.0,29.7,79,8.4
Cha01,Chalqueno,266.8,18.1,56.1,11,27,44.8,31.8,86,9.7
Cha02,Chalqueno,232.4,16.7,48.6,14,34,73.3,30.7,87,9.4
Cha03,Chalqueno,278.1,18.5,46.1,10,31,47.6,39.5,85,7.6
Cha04,Chalqueno,238.6,19.2,54.3,16,41,43.0,33.5,92,9.6
Cha05,Chalqueno,288.7,17.3,51.2,12,30,52.2,34.6,79,11.3
Cha06,Chalqueno,248.9,19.0,53.1,11,35,58.8,41.2,88,11.4
Cha07,Chalqueno,250.2,16.5,41.8,12,28,62.2,26.2,83,11.0
Cha08,Chalqueno,263.9,17.7,58.1,13,30,59.1,36.9,89,6.9
Cha09,Chalqueno,256.1,17.5,52.1,13,30,51.2,37.0,85,11.9
Cha10,Chalqueno,266.6,18.1,42.9,16,31,61.3,34.0,92,9.1
Cha11,Chalqueno,240.7,15.0,58.6,15,31,66.2,31.3,86,9.9
Cha12,Chalqueno,272.9,16.5,49.3,12,28,55.5,39.8,86,8.6
Cha13,Chalqueno,258.8,16.6,43.0,13,32,36.9,35.0,84,10.0
Cha14,Chalqueno,272.9,16.5,46.3,13,27,44.2,37.3,81,9.9
Cha15,Chalqueno,261.8,15.3,49.1,13,30,58.8,39.6,83,11.3
Cha16,Chalqueno,269.4,19.2,50.2,14,34,56.3,30.6,86,9.0
Cha17,Chalqueno,261.8,19.1,50.0,17,31,47.2,33.8,86,8.9
Cha18,Chalqueno,288.3,18.3,47.7,15,29,63.0,32.4,89,8.6
Cha19,Chalqueno,256.4,17.8,46.2,14,28,39.1,32.7,83,11.0
Cha20,Chalqueno,319.6,20.5,51.7,16,35,47.4,37.7,86,10.0
Cha21,Chalqueno,301.3,17.1,46.8,13,30,38.6,33.9,85,10.4
Cha22,Chalqueno,303.5,19.7,56.9,15,30,51.4,39.7,88,9.2
Cha23,Chalqueno,245.5,16.6,50.8,13,21,58.1,38.9,83,10.4
Cha24,Chalqueno,286.3,16.2,61.8,12,29,43.2,33.2,85,9.5
Cha25,Chalqueno,275.0,14.7,41.0,13,26,50.1,29.8,84,10.4
Pal01,Palomero,169.5,8.6,30.1,15,34,18.0,11.2,68,7.0
Pal02,Palomero,185.9,10.4,28.3,18,42,20.8,11.7,75,7.2
Pal03,Palomero,187.6,10.6,36.6,13,34,25.0,10.2,68,8.0
Pal04,Palomero,204.9,10.1,24.4,15,35,22.8,11.1,78,7.4
Pal05,Palomero,174.5,11.5,26.7,17,35,20.9,12.0,71,7.1
Pal06,Palomero,190.8,10.7,24.5,14,28,20.7,12.1,64,8.3
Pal07,Palomero,191.2,11.0,24.6,16,34,16.0,13.3,70,6.9
Pal08,Palomero,207.1,9.3,25.5,17,36,19.0,15.6,67,6.8
Pal09,Palomero,205.7,9.3,29.2,13,31,21.3,13.9,70,7.7
Pal10,Palomero,184.8,10.8,21.1,17,33,21.3,10.0,69,6.3
Pal11,Palomero,195.0,8.9,24.0,17,30,18.5,10.4,71,7.8
Pal12,Palomero,176.9,7.7,25.8,14,34,18.3,11.7,69,6.8
Pal13,Palomero,186.2,10.3,30.3,13,30,21.5,11.0,71,6.0
Pal14,Palomero,180.5,9.5,30.0,15,29,12.2,11.1,67,6.7
Pal15,Palomero,213.1,7.6,28.8,17,35,14.1,11.8,69,6.2
Pal16,Palomero,201.7,10.2,24.9,14,35,15.0,13.6,70,8.1
Pal17,Palomero,155.1,7.5,29.1,14,27,20.5,14.9,60,8.8
Pal18,Palomero,180.9,9.7,28.7,12,29,24.3,12.4,74,7.2
Pal19,Palomero,174.7,8.0,30.3,13,34,16.2,14.5,66,5.8
Pal20,Palomero,196.7,10.2,30.7,17,37,23.8,11.7,69,7.7
Pal21,Palomero,178.1,9.5,25.3,17,27,17.8,11.5,65,7.2
Pal22,Palomero,158.5,8.9,26.0,15,34,16.1,13.4,80,6.3
Pal23,Palomero,167.9,11.5,26.2,17,33,18.5,14.2,76,6.9
Pal24,Palomero,160.6,9.0,27.8,15,29,16.0,12.5,70,8.0
Pal25,Palomero,188.1,8.9,31.7,15,40,18.0,13.8,68,7.2
