ID,Population,Latitude,Longitude,SSR1,SSR1,SSR2,SSR2,SSR3,SSR3,SSR4,SSR4
A01,Tlaxco,19.62,-98.12,182,186,140,142,96,98,210,214
A02,Tlaxco,19.62,-98.12,182,184,138,142,96,96,210,210
A03,Tlaxco,19.62,-98.12,182,184,138,142,96,96,210,210
A04,Tlaxco,19.62,-98.12,186,186,140,140,98,102,214,216
A05,Tlaxco,19.62,-98.12,184,186,142,144,96,100,210,216
A05,Tlaxco,19.62,-98.12,182,182,138,140,100,102,212,214
A07,Tlaxco,19.62,-98.12,18O,186,140,142,96,98,210,212
A08,Tlaxco,19.62,-98.12,184,184,142,142,98,98,0,214
A09,Tlaxco,19.62,-98.12,182,186,138,144,96,102,212,216
A10,,19.62,-98.12,186,188,140,144,98,100,210,214
B01,Apizaco,190.41,-98.14,182,184,144,146,100,102,216,218
B02,Apizaco,19.41,-98.14,184,188,144,144,102,104,214,218
B03,Apizaco,19.41,-98.14,182,188,142,146,100,100,216,216
B04,Apizaco,19.41,-98.14,188,188,146,146,102,104,218,218
B05,Apizaco,19.41,-98.14,184,186,144,146,100,104,214,216
B06,Apizaco,19.41,-98.14,182,188,142,144,102,102,216,218
B07,Apizaco,19.41,-98.14,186,188,144,146,100,104,214,218
B08,Apizaco,19.41,-98.14,184,188,146,146,104,104,216,218
B09,Apizaco,19.41,-98.14,,,,,,,,
B10,Apizaco,19.41,-98.14,182,186,144,144,100,102,218,218
