Ind,Pop,phi024,phi024,phi053,phi053,umc1147,umc1147,bnlg1017,bnlg1017,phi072,phi072,umc1304,umc1304,bnlg1621,bnlg1621,phi096,phi096
Con01,Conico,122,122,0,0,0,0,186,182,216,216,140,140,0,0,94,88
Con02,Conico,126,118,160,154,96,96,180,182,216,216,142,138,174,168,90,94
Con03,Conico,124,118,152,156,102,102,188,188,220,222,140,134,166,168,88,88
Con04,Conico,118,122,160,154,96,100,182,182,216,212,138,138,166,168,90,92
Con05,Conico,0,0,152,152,100,96,186,180,210,210,0,0,172,168,94,94
Con06,Conico,124,118,152,156,100,102,180,186,216,210,140,140,174,174,90,94
Con07,Conico,124,124,152,154,100,98,182,182,216,216,140,142,170,170,94,94
Con08,Conico,126,118,156,154,96,102,186,186,216,216,138,138,172,170,90,88
Con09,Conico,118,118,160,152,98,98,188,180,216,214,138,138,168,168,90,94
Con10,Conico,124,122,156,154,102,96,182,180,216,216,138,138,176,168,90,90
Con11,Conico,126,124,152,154,96,96,186,182,222,216,138,138,176,170,90,92
Con12,Conico,126,122,160,162,102,100,182,180,216,216,142,138,166,170,92,94
Con13,Conico,0,0,152,154,100,96,188,188,216,222,138,134,166,168,88,90
Con14,Conico,122,122,0,0,98,96,180,188,216,220,142,138,166,168,88,94
Con15,Conico,122,124,152,152,96,100,180,186,220,218,138,138,172,174,94,90
Con16,Conico,122,118,160,152,98,96,186,182,210,216,138,138,166,168,90,94
Con17,Conico,126,124,160,160,96,102,186,184,210,224,138,138,166,166,88,94
Con18,Conico,122,118,160,164,102,98,180,186,212,222,138,134,170,176,90,90
Con19,Conico,124,122,164,164,100,96,180,182,216,210,142,138,166,172,94,94
Con20,Conico,120,122,152,160,100,96,180,182,224,216,138,138,168,170,88,88
Con21,Conico,122,124,160,152,100,102,186,182,216,222,138,134,0,0,90,90
Con22,Conico,120,124,160,160,96,102,180,188,216,212,138,142,172,176,94,94
Con23,Conico,118,118,154,152,96,98,180,186,210,214,138,138,166,166,94,90
Con24,Conico,122,124,152,152,0,0,180,184,214,218,142,138,172,172,94,94
Con25,Conico,0,0,154,154,100,96,182,180,220,224,138,138,176,170,94,92
